SEEG TBAL3,SEEG TBAL4,SEEG TBAR1,SEEG TBAR2,SEEG TBAR3,SEEG TBAR4,SEEG TBPL1,SEEG TBPL2,SEEG TBPL3,SEEG TBPL4,SEEG TBPR1,SEEG TBPR2,SEEG TBPR3,SEEG TBPR4,SEEG TL01,SEEG TL02,SEEG TL03,SEEG TL04,SEEG TL05,SEEG TL06,SEEG TL07,SEEG TL08,SEEG TL09,SEEG TL10,SEEG TLL01,SEEG TLL02,SEEG TLL03,SEEG TLL04,SEEG TLR01,SEEG TLR02,SEEG TLR03,SEEG TLR04,SEEG TR01,SEEG TR02,SEEG TR03,SEEG TR04,SEEG TR05,SEEG TR06,SEEG TR07,SEEG TR08,SEEG TR09,SEEG TR10
31.787241171538643,58.48900781386413,76.4693480919623,48.589803794223386,30.947131567802767,112.38769145008088,38.00512976148016,12.450689841075048,44.81973981581529,41.638681469595184,73.5860324124959,49.46163212669114,37.81307927221897,87.47352280546963,82.68014665828959,-125.454095410403,-7.34211342998599,26.17599108989838,-6.712177655764908,-100.97264286403512,44.88123756355145,105.9028804814178,78.60962392833126,80.51733673667222,83.24574172317756,92.9421104028066,65.79004426957303,64.11010210626085,67.64006435364202,37.96824743223307,105.79314838638184,98.4894825482182,71.71348008860738,74.45885411549132,104.4731338039594,99.52491236462598,88.13639216647046,81.24953495935078,85.26427067605422,90.00288098726358,97.426924764928,104.4942679442816
22.643685356463447,53.71848311994509,73.33716995966985,46.30756958995146,35.78841879356582,109.86974522611575,36.69799260523336,7.375657718282506,30.11731456967484,23.054819968045383,77.19587741644413,62.03128529252937,45.241110633353024,85.59088813183652,85.75205381713666,-138.46248051436575,-10.841669472880096,22.99723645108968,-7.180459879719047,-100.08407784739484,41.09114030130476,96.97190118291532,69.91841160350786,72.90266635968263,87.33087122190729,96.41750994358728,72.05289325436706,57.64131296241869,83.21054979332699,52.401694631200535,104.55899323256764,92.54054952469818,69.79640449139148,75.32218015805424,104.07174049074068,101.55314558710543,95.21478563409714,85.85192289759199,91.4350592999152,94.72938171095528,99.78154482671012,103.12339803996342
15.140074241971927,47.65503282060671,69.59339775663148,47.728626712078,36.99271865411507,101.37687558663671,36.776367795826616,2.2569131223330703,16.500141802798435,3.182983873786498,77.36870156555119,69.7709817309707,50.63816499684949,83.39765826251524,87.70446831167138,-142.51656388375804,-13.473562682590456,17.87854190138915,-8.831009826608371,-98.40754135040464,37.607757595993576,85.27736735254447,59.6131869908502,64.59845043669557,90.46162923304286,96.55627006867624,79.83697731910812,52.42081522407677,95.80056896523696,55.83134229760527,98.46785554654888,75.53201197747511,71.48261083831675,74.44578240768283,101.17169079398651,101.22872660866638,96.16595510262998,88.59331383021087,95.7506204710304,96.58199130201824,100.37408764427045,101.06409588748124
13.977242234464937,48.0517278330304,70.23699929191353,53.026601173894434,41.786640153263136,91.31569624405331,37.12231297772374,2.045168617860537,5.786359408771458,-3.5369991105023413,79.70111444140639,76.23078147255093,54.57578091163626,87.48213992157211,93.56862781488208,-138.8343596668935,-16.32824415499384,13.847942230880768,-9.594373712170515,-96.72397081795036,33.616217640536426,72.51743054859128,53.17161154511378,63.03926212898559,93.5762539599864,99.38505988120116,87.28724050229566,52.2662420321251,92.73446196442342,53.18669392876601,92.71364045467978,60.36680996736323,78.7955714849336,77.13210922770183,106.28977772176464,106.3038856489071,98.2624472906256,94.1669173139356,102.63445833366184,99.54731903462176,103.97683827432738,104.2247730325424
18.14407020888808,52.74766693111152,72.5816428751891,51.33535354979711,51.401321995869054,83.23972187690393,35.78597338403916,7.454174373263879,-0.8266618594050021,5.205368509806249,85.1666443129996,89.02121451167925,58.460599572910525,96.838798308943,100.58504730922688,-135.50716238426256,-21.598923891328614,11.350155748755682,-9.12586105153331,-93.14882188520686,29.296535492074973,57.07214367562725,50.792544583581225,68.41312091516279,96.50095076321122,104.5911666300995,89.92946315491574,53.47665177842202,75.97402939246241,54.95533245038825,83.11970108737223,57.79113128259249,87.83420050512092,81.12625238059185,119.85424967429968,117.72792508362352,102.24205940625264,101.06386596808332,112.17911793883542,105.87635998710198,110.55075221901468,110.54016634483106
20.45982445918815,53.4076126612147,71.62323796993189,36.867934439239626,61.19998060310122,84.82470474452913,33.883170665535374,14.491718844582827,7.240581003442234,18.005089683873866,89.59730114695658,105.02676802818937,60.32015367074783,101.81421609852624,101.29547533275988,-138.17701800037048,-28.215094316843405,10.385172993879657,-7.968038760954223,-89.18317838035287,21.489647315911757,35.76543065940678,48.85970311827944,75.25838335436484,98.78653348270474,106.5633603524092,86.74992107574575,51.89526277074703,63.56092830872201,62.49580987802645,67.0597115495377,67.01921909128615,92.37201231817788,82.45328795266825,132.4489933673578,129.20248182269626,104.58597099707156,107.4923276951702,121.0942007830681,114.29437488752144,116.40124536523152,114.29578996976626
17.25944265670948,46.30700747620641,67.502872734605,16.46511633954424,65.30794667807602,94.4941735121045,32.44969329379191,17.963897709973466,32.531205517266585,23.79053923173676,90.8443601781494,112.73995721367449,59.19219010295223,97.7692626348477,92.5704700510832,-143.51875755603317,-32.50035172875684,9.019371201954156,-6.687286382549,-88.21238932490294,9.91602797255626,13.790253062051717,48.31169606390425,82.35525699571025,98.61515057517444,101.15434986223872,79.76023836772013,46.90020901559838,66.92684844162625,70.02119034248456,53.58658393445171,75.74007540865153,91.47325460823504,82.98304310065306,136.33018626626213,134.57309374474053,107.09120608271937,114.2847979712283,126.64982925463184,121.46554503596622,119.4889149810682,114.31106452434553
12.372869035432446,35.45406343487566,64.86450317605123,2.9437595056111467,61.67606038106048,100.12586413566348,29.17201857601315,18.68037640002982,58.463732096782266,23.758509243683857,91.79946147517902,108.86691016081195,58.63833800883598,95.56633802555642,79.7714447733731,-143.46480937540454,-32.59976094816512,5.295448071657361,-4.960422970474065,-87.99092771619625,2.878472097164437,6.0655594313726375,57.58217856462259,97.54914653368128,94.70569165357986,90.71661531621544,71.29802455575947,41.69905670705021,82.69101038178778,74.37945122679072,55.000462377853616,77.57612963060532,91.90059145921984,87.98332226539569,134.9836442484981,135.61446812664366,114.05543437786284,121.43949026974256,129.6394832293144,127.21769143639312,122.26153153210664,115.18528468139816
10.566548219446636,25.9270763107233,65.19313748985995,-0.5370694098969093,54.417845733162,96.47935903806456,19.050095854099443,22.571628076613607,72.87199766642847,25.257748965360506,92.88270141706698,100.7133633972567,58.728458064067446,104.17560417889982,69.06418998432694,-134.89565161285145,-29.220033919217723,1.5484125480697175,-2.3553130987862336,-85.61796177946107,5.201005576012861,20.13593745946041,81.90360088833496,127.2572992416982,86.16924907174412,78.6366257245978,61.53843166780311,39.24218153778087,101.1149764685516,74.8669197797701,69.98416326529309,80.52442120140435,96.69017731314874,97.13578886103524,135.8014673067732,137.0707092306288,120.93226986669762,125.42440076869848,131.92030079675993,133.20606564730986,127.44971418368492,120.14638610707452
11.804336071145364,17.136700442310612,64.50713870335869,-4.835476667650221,48.87889165055792,89.20747025271544,-1.7206287215420986,29.837106438030087,80.49095610715172,27.89463476474996,89.96144320825199,93.59221773347925,53.37680073214749,113.14560221699618,58.785385564791824,-121.9902402439169,-24.18665491714806,-2.365753926381489,-1.2512481737887264,-86.73882195821626,6.170538005708352,43.48635369350195,113.10214701720444,164.885496124,70.66446525385759,62.39421683784326,47.933210980852216,37.25666041627403,114.01651909751024,71.52853843740029,83.87817761888061,90.90096812253552,99.18213562245714,103.0738454459242,137.56261373823807,137.70976481834182,117.20198805406464,123.4098054633438,133.07834035070792,137.14322993727535,132.31537095595112,125.3076927262242
